Date,Equity,DD
11/06/2009,37095,0
11/08/2009,37805,0
11/09/2009,37665,-140
11/10/2009,37510,-295
11/11/2009,37675,-130
11/12/2009,36475,-1330
11/13/2009,38405,0
11/15/2009,38845,0
11/16/2009,39605,0
11/17/2009,39675,0
11/18/2009,40790,0
11/19/2009,40790,0
11/20/2009,40790,0
11/22/2009,40790,0
11/23/2009,40955,0
11/24/2009,40650,-305
11/25/2009,40650,-305
11/26/2009,40650,-305
11/27/2009,40650,-305
11/29/2009,40650,-305
11/30/2009,40635,-320
12/01/2009,42095,0
12/02/2009,42340,0
12/03/2009,41915,-425
12/04/2009,42320,-20
12/06/2009,42405,0
12/07/2009,44625,0
12/08/2009,45925,0
12/09/2009,44085,-1840
12/10/2009,44835,-1090
12/11/2009,45970,0
12/13/2009,45970,0
12/14/2009,46435,0
12/15/2009,46140,-295
12/16/2009,45110,-1325
12/17/2009,46295,-140
12/18/2009,45990,-445
12/20/2009,46075,-360
12/21/2009,46820,0
12/22/2009,47675,0
12/23/2009,48695,0
12/24/2009,49390,0
12/27/2009,49390,0
12/28/2009,50130,0
12/29/2009,50185,0
12/30/2009,50975,0
12/31/2009,51490,0
01/03/2010,52055,0
01/04/2010,50170,-1885
01/05/2010,50830,-1225
01/06/2010,50345,-1710
01/07/2010,50075,-1980
01/08/2010,49890,-2165
01/10/2010,49890,-2165
01/11/2010,49925,-2130
01/12/2010,50350,-1705
01/13/2010,50685,-1370
01/14/2010,50960,-1095
01/15/2010,50960,-1095
01/17/2010,50960,-1095
01/18/2010,51135,-920
01/19/2010,50925,-1130
01/20/2010,50790,-1265
01/21/2010,51475,-580
01/22/2010,52480,0
01/24/2010,52865,0
01/25/2010,53555,0
01/26/2010,53660,0
01/27/2010,53865,0
01/28/2010,53345,-520
01/29/2010,53400,-465
01/31/2010,52945,-920
02/01/2010,52425,-1440
02/02/2010,51320,-2545
02/03/2010,51505,-2360
02/04/2010,51210,-2655
02/05/2010,52020,-1845
02/07/2010,52075,-1790
02/08/2010,52130,-1735
02/09/2010,52010,-1855
02/10/2010,52610,-1255
02/11/2010,52185,-1680
02/12/2010,52370,-1495
02/14/2010,52370,-1495
02/15/2010,53125,-740
02/16/2010,53310,-555
02/17/2010,52855,-1010
02/18/2010,53415,-450
02/19/2010,53080,-785
02/21/2010,53080,-785
02/22/2010,53080,-785
02/23/2010,53425,-440
02/24/2010,53705,-160
02/25/2010,53490,-375
02/26/2010,53260,-605
02/28/2010,53195,-670
03/01/2010,53730,-135
03/02/2010,53730,-135
03/03/2010,53605,-260
03/04/2010,53320,-545
03/05/2010,53320,-545
03/07/2010,53320,-545
03/08/2010,53285,-580
03/09/2010,54235,0
03/10/2010,54690,0
03/11/2010,55555,0
03/12/2010,56050,0
03/14/2010,56050,0
03/15/2010,56425,0
03/16/2010,55475,-950
03/17/2010,55845,-580
03/18/2010,55845,-580
03/19/2010,55860,-565
03/21/2010,56195,-230
03/22/2010,57535,0
03/23/2010,57755,0
03/24/2010,58635,0
03/25/2010,58565,-70
03/26/2010,59100,0
03/28/2010,58965,-135
03/29/2010,58790,-310
03/30/2010,58790,-310
03/31/2010,58790,-310
04/01/2010,58790,-310
04/04/2010,58695,-405
04/05/2010,58445,-655
04/06/2010,58570,-530
04/07/2010,58595,-505
04/08/2010,58700,-400
04/09/2010,58700,-400
04/11/2010,58700,-400
04/12/2010,58445,-655
04/13/2010,58590,-510
04/14/2010,58835,-265
04/15/2010,58640,-460
04/16/2010,58640,-460
04/18/2010,58640,-460
04/19/2010,58855,-245
04/20/2010,57940,-1160
04/21/2010,57970,-1130
04/22/2010,59300,0
04/23/2010,59300,0
04/25/2010,59300,0
